index,heartrate,heartquality,anomaly
15429,7.436609094008534,0.4383354139780744,1
15430,8.114536281087217,0.4386561298836716,1
15431,8.766916420136843,0.43897740924169487,-1
15432,9.384384961215929,0.4392994041690225,-1
15433,9.956127982291994,0.43962196254877606,-1
15434,10.476830933356489,0.4399452364978342,-1
15435,10.937579892308978,0.4402690738993181,-1
15436,11.333660309072076,0.4405936268701065,-1
15437,11.66294397576135,0.44091874329332076,-1
15438,11.934330627943089,0.44124457528583966,-1
15439,12.152020629089945,0.4415709707307844,-1
15440,12.319413714695859,0.4418980817450336,-1
15441,12.435510248160238,0.4422257562117086,-1
15442,12.496909964902901,0.44255414624768835,-1
15443,12.504456085391125,0.4428830997360938,-1
15444,12.461005487825998,0.44321276879380395,-1
15445,12.369415678312336,0.4435430013039397,-1
15446,12.232543534973622,0.44387394938338015,-1
15447,12.053246563836183,0.44420546091524643,-1
15448,11.83438164294414,0.4445376880164172,-1
15449,11.578806278243606,0.4448704785700139,-1
15450,11.289377347697604,0.44520398469291494,-1
15451,10.985852357170284,0.4455380542682421,-1
15452,10.67538818454185,0.44587283941287364,-1
15453,10.364042335592764,0.44620818800993106,-1
15454,10.056471688118682,0.446544252176293,-1
15455,9.763133747814653,0.4468808797950809,-1
15456,9.488685392390062,0.4472182229831732,-1
15457,9.23704127030997,0.4475561296236915,-1
15458,9.003501116338635,0.4478947518335142,-1
15459,8.78686529313799,0.44823393749576285,-1
15460,8.583333535382591,0.4485738387273159,1
15461,8.392906205643822,0.44891430341129496,1
15462,8.219383038504839,0.4492554836645785,1
15463,8.063364396444772,0.4495972273702879,1
15464,7.924850013953673,0.44993968664530176,1
15465,7.803840253416725,0.45028270937274156,1
15466,7.700334849229178,0.45062644766948584,1
15467,7.614334163680574,0.450970749418656,1
15468,7.5458379310696815,0.4513157667371307,1
15469,7.494846513588713,0.45166134750803116,1
15470,7.4613596454382645,0.4520076438482364,1
15471,7.4369276887115445,0.4523545036408673,1
15472,7.4194003775093,0.4527020790028028,1
15473,7.407178073824055,0.4530502178171641,1
15474,7.399360511655041,0.45339907220083,1
15475,7.39214805289243,0.45374849003692164,1
15476,7.3849404314322635,0.45409862344231794,1
15477,7.378038009060704,0.45444932030014007,1
15478,7.3724405195689515,0.4548007327272667,1
15479,7.363948324637488,0.45515270860681917,1
15480,7.359261157951017,0.45550540005567614,1
15481,7.359279381082699,0.45585865495695904,1
15482,7.362102727609085,0.45621262542754654,1
15483,7.367431558994371,0.45656715935055986,1
15484,7.374365608705317,0.45692240884287766,1
15485,7.376905238095509,0.4572782217876213,1
15486,7.372550180520284,0.4576347503016694,1
15487,7.363200797220983,0.45799184226814355,1
15488,7.35075682143989,0.45834964980392207,1
15489,7.334218614304474,0.45870802079212664,1
15490,7.316485908942339,0.45906710734963563,1
15491,7.295259066365468,0.4594267573595704,1
15492,7.2750378195851635,0.4597871229388098,1
15493,7.252922529496305,0.460148051970475,1
15494,7.228912928992289,0.46050969657144475,1
15495,7.207409378849279,0.4608719046248404,1
15496,7.191611611841159,0.4612348282475406,1
15497,7.174219988623781,0.4615983153226666,1
15498,7.153334241849913,0.46196251796709714,1
15499,7.134154732053497,0.46232728406395346,1
15500,7.1045811917645985,0.4626927657301145,1
15501,7.062513981393663,0.4630588108487012,1
15502,7.008552833346462,0.46342557153659264,1
15503,6.945898107908364,0.4637928956769098,1
15504,6.87314953735927,0.4641609353865314,1
